전용면적(㎡),계약년월,계약일,건축년도,거래금액,계약년도,계약월,시,읍면동
36.855,2016-03,17,1991,40000000,2016,3,제주시,노형동
20.14,2016-03,16,2004,62000000,2016,3,제주시,노형동
29.16,2016-03,15,1992,52000000,2016,3,제주시,연동
40.26,2016-03,15,2008,50000000,2016,3,제주시,외도일동
36.0,2016-03,15,1992,28000000,2016,3,서귀포시,서귀동
21.75,2016-03,14,2011,99000000,2016,3,제주시,연동
19.3,2016-03,14,1992,24000000,2016,3,제주시,연동
93.53,2016-03,14,2016,178500000,2016,3,제주시,조천읍
83.07,2016-03,14,2015,197590000,2016,3,서귀포시,동홍동
84.89,2016-03,11,2013,365000000,2016,3,제주시,노형동
56.49,2016-03,11,2008,95000000,2016,3,제주시,외도일동
49.32,2016-03,10,1992,80000000,2016,3,제주시,연동
74.44,2016-03,10,2016,227000000,2016,3,제주시,삼도이동
74.44,2016-03,10,2016,218000000,2016,3,제주시,삼도이동
82.14,2016-03,10,2016,259000000,2016,3,제주시,삼도이동
21.75,2016-03,9,2011,90000000,2016,3,제주시,연동
80.21,2016-03,9,2014,186000000,2016,3,서귀포시,표선면
36.855,2016-03,9,1991,65000000,2016,3,제주시,노형동
30.0,2016-03,9,1991,65000000,2016,3,제주시,노형동
76.06,2016-03,7,2014,200000000,2016,3,서귀포시,표선면
71.47,2016-03,5,2012,200000000,2016,3,제주시,노형동
83.07,2016-03,4,2015,220000000,2016,3,서귀포시,동홍동
20.14,2016-03,2,2004,83500000,2016,3,제주시,노형동
84.66,2016-03,2,2015,180050000,2016,3,제주시,삼도이동
20.14,2016-03,1,2004,70000000,2016,3,제주시,노형동
31.5,2016-02,29,2001,80000000,2016,2,제주시,연동
81.22,2016-02,29,2015,185500000,2016,2,제주시,이도일동
83.23,2016-02,27,2015,204060000,2016,2,제주시,이도일동
20.14,2016-02,26,2004,85000000,2016,2,제주시,노형동
20.14,2016-02,25,2004,94100000,2016,2,제주시,노형동
37.0,2016-02,25,2003,110000000,2016,2,제주시,노형동
72.0,2016-02,25,1992,60000000,2016,2,서귀포시,서귀동
